station,arrondissement,mm,dd,wday,dur
Milton / du Parc,Le Plateau-Mont-Royal,9,29,Friday,9.403802849
Plessis / Ontario,Ville-Marie,5,21,Sunday,11.59954237
Larivière / de Lorimier,Ville-Marie,7,18,Tuesday,13.28438103
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,10,5,Thursday,13.55766073
de Rouen / Lespérance,Ville-Marie,7,26,Wednesday,10.99082646
Pontiac / Gilford,Le Plateau-Mont-Royal,9,8,Friday,12.70907591
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,7,27,Thursday,13.82481184
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,4,Sunday,13.32391976
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,19,Saturday,10.84077037
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,5,22,Monday,19.76368019
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,7,25,Tuesday,14.62332596
Guy / Sainte-Catherine,Ville-Marie,9,18,Monday,13.00218145
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,6,Tuesday,12.90144916
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,10,2,Monday,14.26571542
de Rouen / Hogan,Ville-Marie,10,24,Tuesday,13.0089982
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,7,19,Wednesday,18.73586
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,5,13,Saturday,12.81579286
Egan / Laurendeau,Le Sud-Ouest,6,16,Friday,14.43492011
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,9,Wednesday,8.875950794
Hamilton / Jolicoeur,Le Sud-Ouest,7,21,Friday,13.85341667
Berri / Cherrier,Le Plateau-Mont-Royal,10,19,Thursday,10.449192
Marquette / Rachel,Le Plateau-Mont-Royal,8,19,Saturday,13.21939522
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,5,23,Tuesday,12.49422418
Berri / Cherrier,Le Plateau-Mont-Royal,10,4,Wednesday,10.47803284
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,10,22,Sunday,9.42151954
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,7,7,Friday,13.57338879
