station,arrondissement,mm,dd,wday,dur
du President-Kennedy / Union,Ville-Marie,8,18,Friday,13.54745022
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,6,5,Monday,13.50842428
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,7,22,Saturday,14.16320937
Milton / Durocher,Le Plateau-Mont-Royal,6,18,Sunday,13.94918685
du President-Kennedy / Union,Ville-Marie,8,7,Monday,11.96445417
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,27,Thursday,10.78306871
Parc Plage,Ville-Marie,9,12,Tuesday,30.2762904
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,8,29,Tuesday,15.35588952
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,9,10,Sunday,16.71808908
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,6,18,Sunday,30.93134286
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,8,14,Monday,23.88619608
Milton / Durocher,Le Plateau-Mont-Royal,10,17,Tuesday,9.019259836
Guy / Sainte-Catherine,Ville-Marie,8,17,Thursday,16.13724121
Berri / Cherrier,Le Plateau-Mont-Royal,5,29,Monday,11.2476689
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,9,23,Saturday,15.77874433
Milton / du Parc,Le Plateau-Mont-Royal,7,26,Wednesday,10.94626831
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,8,13,Sunday,14.85400778
Quai de la navette fluviale,Ville-Marie,5,24,Wednesday,21.93484
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,9,18,Monday,12.89635111
Dorion / Rachel,Le Plateau-Mont-Royal,7,9,Sunday,14.19286716
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,6,8,Thursday,11.26014189
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,16,Saturday,13.12264074
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,5,15,Monday,12.69309463
Parc Plage,Ville-Marie,9,2,Saturday,27.11816914
de la Roche / Bélanger,Rosemont - La Petite-Patrie,9,9,Saturday,13.35468185
Rose-de-Lima / Workman,Le Sud-Ouest,6,28,Wednesday,16.11438083
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,9,24,Sunday,12.51687654
de Bullion / St-Joseph,Le Plateau-Mont-Royal,10,9,Monday,16.39555432
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,9,21,Thursday,12.95649137
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,9,17,Sunday,18.93098722
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,5,29,Monday,14.50403713
du President-Kennedy / Union,Ville-Marie,7,27,Thursday,13.21627749
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,7,18,Tuesday,17.24032407
Boyer / St-Zotique,Rosemont - La Petite-Patrie,9,10,Sunday,12.00258121
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,6,2,Friday,11.27957145
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,10,5,Thursday,12.94876117
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,10,22,Sunday,12.39534881
Richardson / Montmorency,Le Sud-Ouest,9,11,Monday,14.95690861
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,10,28,Saturday,14.54710333
de Rouen / Hogan,Ville-Marie,10,16,Monday,11.73376303
Dorion / Rachel,Le Plateau-Mont-Royal,6,20,Tuesday,12.91679054
Richardson / Montmorency,Le Sud-Ouest,7,13,Thursday,13.55701325
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,10,13,Friday,14.42431266
de la Montagne / Sherbrooke,Ville-Marie,5,22,Monday,13.82327047
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,9,11,Monday,13.56490291
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,9,29,Friday,16.67491842
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,10,3,Tuesday,13.50527589
Milton / du Parc,Le Plateau-Mont-Royal,6,4,Sunday,11.62005695
du President-Kennedy / Union,Ville-Marie,10,26,Thursday,11.19712096
Parc Plage,Ville-Marie,5,20,Saturday,26.57722125
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,7,30,Sunday,16.89228093
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,8,6,Sunday,14.22685669
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,9,7,Thursday,11.8541555
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,9,22,Friday,12.7407152
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,7,29,Saturday,6.934395238
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,5,15,Monday,29.18309467
Union / René-Lévesque,Ville-Marie,6,29,Thursday,11.09354298
Henri-Julien / Laurier,Le Plateau-Mont-Royal,6,13,Tuesday,9.763860274
Ann / Wellington,Le Sud-Ouest,8,20,Sunday,14.19700652
Ann / Wellington,Le Sud-Ouest,5,17,Wednesday,12.77409532
Ann / Wellington,Le Sud-Ouest,10,30,Monday,11.2765787
Bourget / St-Jacques,Le Sud-Ouest,6,25,Sunday,13.72115926
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,6,2,Friday,13.71403487
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,8,13,Sunday,14.44836296
Bercy / Rachel,Le Plateau-Mont-Royal,6,28,Wednesday,11.84850128
Drolet / Marie-Anne,Le Plateau-Mont-Royal,10,22,Sunday,8.701497268
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,8,3,Thursday,17.48445104
Guy / Sainte-Catherine,Ville-Marie,9,15,Friday,12.78071556
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,9,25,Monday,9.794793704
St-Urbain / de la Gauchetière,Ville-Marie,9,11,Monday,17.01364283
Ann / Wellington,Le Sud-Ouest,9,29,Friday,17.59099
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,20,Tuesday,16.2984044
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,9,12,Tuesday,22.55889167
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,5,22,Monday,25.04683796
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,5,8,Monday,11.99064245
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,28,Thursday,11.43896966
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,7,26,Wednesday,23.99147549
Quai de la navette fluviale,Ville-Marie,6,30,Friday,36.54195041
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,12,Monday,11.98735833
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,9,6,Wednesday,13.63795955
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,6,8,Thursday,10.80839348
Drolet / Marie-Anne,Le Plateau-Mont-Royal,5,14,Sunday,13.9401484
Wolfe / Robin,Ville-Marie,9,4,Monday,12.56278292
Gauthier / Papineau,Le Plateau-Mont-Royal,5,5,Friday,12.34459052
Henri-Julien / Laurier,Le Plateau-Mont-Royal,6,24,Saturday,11.76280139
27e avenue / Rosemont,Rosemont - La Petite-Patrie,5,10,Wednesday,16.39906081
Berri / Cherrier,Le Plateau-Mont-Royal,8,23,Wednesday,10.5376729
de la Montagne / Sherbrooke,Ville-Marie,10,10,Tuesday,11.48052649
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,8,28,Monday,13.91111756
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,7,24,Monday,11.53626172
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,7,23,Sunday,14.64575906
Dorion / Rachel,Le Plateau-Mont-Royal,5,27,Saturday,12.21698516
de Bordeaux / Masson,Le Plateau-Mont-Royal,6,19,Monday,14.32350502
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,8,13,Sunday,16.02455977
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,6,3,Saturday,9.822093836
de Bullion / St-Joseph,Le Plateau-Mont-Royal,5,14,Sunday,12.37772882
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,6,3,Saturday,30.41523627
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,8,4,Friday,12.12426703
Egan / Laurendeau,Le Sud-Ouest,10,15,Sunday,13.14122
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,6,19,Monday,11.89374536
Quai de la navette fluviale,Ville-Marie,6,13,Tuesday,23.69296026
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,9,3,Sunday,14.48318653
Rosemont / Viau,Rosemont - La Petite-Patrie,10,17,Tuesday,13.95822667
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,7,7,Friday,25.2162425
Metcalfe / de Maisonneuve,Ville-Marie,8,16,Wednesday,13.32668301
Gauthier / Papineau,Le Plateau-Mont-Royal,8,13,Sunday,13.21283469
de Bordeaux / Masson,Le Plateau-Mont-Royal,8,5,Saturday,13.1603512
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,5,20,Saturday,15.453528
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,10,10,Tuesday,10.46488929
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,10,14,Saturday,11.12297868
Plessis / Ontario,Ville-Marie,6,19,Monday,10.55523007
Gauthier / Papineau,Le Plateau-Mont-Royal,7,9,Sunday,14.91320569
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,30,Sunday,16.8818805
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,5,4,Thursday,12.97687833
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,6,9,Friday,16.38033235
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,5,2,Tuesday,10.48429494
Milton / Durocher,Le Plateau-Mont-Royal,10,23,Monday,8.856263763
de Bullion / St-Joseph,Le Plateau-Mont-Royal,10,14,Saturday,11.06622995
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,5,15,Monday,12.82186228
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,7,5,Wednesday,14.32148023
Fortune / Wellington,Le Sud-Ouest,5,2,Tuesday,12.76465407
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,5,9,Tuesday,18.6382
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,7,22,Saturday,14.12971531
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,9,14,Thursday,14.22969963
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,6,2,Friday,13.43753039
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,8,18,Friday,11.29289967
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,8,27,Sunday,11.60126989
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,10,6,Friday,10.83173058
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,9,23,Saturday,15.49952909
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,10,17,Tuesday,10.37298232
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,5,Thursday,15.29099767
Parc Plage,Ville-Marie,9,17,Sunday,30.544845
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,8,2,Wednesday,15.35640253
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,6,28,Wednesday,14.00863077
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,10,9,Monday,11.38937374
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,7,5,Wednesday,12.88559968
Bourget / St-Jacques,Le Sud-Ouest,5,22,Monday,11.45598182
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,9,27,Wednesday,12.71262143
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,7,5,Wednesday,17.44572674
Milton / Durocher,Le Plateau-Mont-Royal,6,19,Monday,11.65336335
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,8,21,Monday,13.64650076
Plessis / Ontario,Ville-Marie,8,16,Wednesday,11.80611954
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,9,3,Sunday,16.29231581
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,29,Thursday,12.23215641
Berri / Cherrier,Le Plateau-Mont-Royal,9,24,Sunday,14.46430252
Pontiac / Gilford,Le Plateau-Mont-Royal,5,5,Friday,9.479744444
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,8,8,Tuesday,21.74764931
Ann / Wellington,Le Sud-Ouest,6,6,Tuesday,15.95262055
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,5,30,Tuesday,12.87584624
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,6,19,Monday,13.61525121
Metcalfe / de Maisonneuve,Ville-Marie,6,20,Tuesday,14.77262737
Fortune / Wellington,Le Sud-Ouest,10,25,Wednesday,11.93379375
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,7,Thursday,11.17419974
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,5,11,Thursday,11.76721788
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,8,23,Wednesday,14.05594583
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,5,14,Sunday,15.67240985
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,7,31,Monday,15.12649969
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,10,12,Thursday,14.83913272
Berri / Cherrier,Le Plateau-Mont-Royal,10,23,Monday,9.424580912
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,6,23,Friday,16.2262182
Union / René-Lévesque,Ville-Marie,8,15,Tuesday,13.3811957
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,7,3,Monday,11.42936426
Labadie / du Parc,Le Plateau-Mont-Royal,6,16,Friday,13.39528842
8e avenue / Dandurand,Rosemont - La Petite-Patrie,8,23,Wednesday,14.70894124
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,14,Sunday,16.01740625
Wolfe / Robin,Ville-Marie,8,14,Monday,10.56131491
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,27,Tuesday,10.25824917
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,8,22,Tuesday,13.97537704
Vallières / St-Laurent,Le Plateau-Mont-Royal,9,26,Tuesday,10.82330473
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,9,Saturday,12.16293556
d'Orléans / Masson,Rosemont - La Petite-Patrie,5,20,Saturday,16.73434157
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,8,4,Friday,11.08085542
St-Urbain / de la Gauchetière,Ville-Marie,7,11,Tuesday,20.10163524
Richardson / Montmorency,Le Sud-Ouest,5,20,Saturday,16.13813226
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,10,17,Tuesday,16.67373222
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,4,Tuesday,13.1767739
Hutchison / Van Horne,Le Plateau-Mont-Royal,8,12,Saturday,13.50979639
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,9,8,Friday,14.04375096
Guy / Sainte-Catherine,Ville-Marie,10,28,Saturday,13.15037511
Molson / Beaubien,Rosemont - La Petite-Patrie,7,15,Saturday,15.68489292
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,9,21,Thursday,11.36997428
Berri / Cherrier,Le Plateau-Mont-Royal,7,21,Friday,11.14197967
Bourget / St-Jacques,Le Sud-Ouest,8,8,Tuesday,14.08710492
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,9,27,Wednesday,14.00633016
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,8,28,Monday,11.2770543
de Bullion / St-Joseph,Le Plateau-Mont-Royal,7,20,Thursday,11.26263955
Milton / du Parc,Le Plateau-Mont-Royal,7,2,Sunday,13.26562959
Metcalfe / de Maisonneuve,Ville-Marie,6,21,Wednesday,16.881548
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,8,25,Friday,18.36186944
Richardson / Montmorency,Le Sud-Ouest,6,17,Saturday,14.23433478
8e avenue / Dandurand,Rosemont - La Petite-Patrie,7,8,Saturday,16.58176667
Bercy / Rachel,Le Plateau-Mont-Royal,6,16,Friday,11.68523474
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,8,22,Tuesday,14.5254234
de Rouen / Hogan,Ville-Marie,10,21,Saturday,10.87283846
Hamilton / Jolicoeur,Le Sud-Ouest,8,19,Saturday,11.45662469
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,5,4,Thursday,12.03051587
Larivière / de Lorimier,Ville-Marie,8,22,Tuesday,12.63273783
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,8,26,Saturday,12.17775306
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,9,23,Saturday,17.41954684
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,9,2,Saturday,12.06485217
du Havre / de Rouen,Ville-Marie,10,5,Thursday,13.88253068
Richardson / Montmorency,Le Sud-Ouest,5,19,Friday,15.14616706
Ann / Wellington,Le Sud-Ouest,10,7,Saturday,8.703736667
St-Urbain / de la Gauchetière,Ville-Marie,5,20,Saturday,16.98464387
Parc Plage,Ville-Marie,8,14,Monday,30.31359095
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,5,2,Tuesday,10.49998083
Duluth  / St-Denis,Le Plateau-Mont-Royal,9,6,Wednesday,11.59345171
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,8,4,Friday,15.9025812
Hutchison / Van Horne,Le Plateau-Mont-Royal,7,28,Friday,13.72946353
Ann / Wellington,Le Sud-Ouest,10,26,Thursday,11.57898167
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,5,26,Friday,16.09179233
5e avenue / Rosemont,Rosemont - La Petite-Patrie,9,29,Friday,11.49188535
Parc Plage,Ville-Marie,5,28,Sunday,26.39720521
Union / René-Lévesque,Ville-Marie,7,11,Tuesday,14.97934318
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,10,16,Monday,14.52487048
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,10,5,Thursday,18.20410015
Ann / Wellington,Le Sud-Ouest,8,6,Sunday,19.63535119
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,8,8,Tuesday,12.41295833
Fortune / Wellington,Le Sud-Ouest,6,8,Thursday,10.53032753
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,8,Thursday,11.65630451
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,8,30,Wednesday,12.60109633
Hutchison / Van Horne,Le Plateau-Mont-Royal,9,6,Wednesday,16.01851802
de la Montagne / Sherbrooke,Ville-Marie,8,12,Saturday,14.21208821
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,5,17,Wednesday,19.13944444
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,6,19,Monday,23.9492825
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,7,20,Thursday,19.12030679
Hutchison / Van Horne,Le Plateau-Mont-Royal,5,4,Thursday,13.56602813
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,8,13,Sunday,14.87065174
Larivière / de Lorimier,Ville-Marie,9,21,Thursday,11.68629294
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,8,19,Saturday,19.38044817
Dorion / Rachel,Le Plateau-Mont-Royal,9,16,Saturday,12.82540675
St-Urbain / de la Gauchetière,Ville-Marie,10,20,Friday,16.46077158
Rosemont / Viau,Rosemont - La Petite-Patrie,6,18,Sunday,28.12023083
Quai de la navette fluviale,Ville-Marie,5,14,Sunday,32.9643306
St-André / Rachel,Le Plateau-Mont-Royal,9,22,Friday,13.36292377
de Bordeaux / Masson,Le Plateau-Mont-Royal,6,30,Friday,15.79859954
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,10,25,Wednesday,18.577295
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,8,12,Saturday,12.45945155
Molson / Beaubien,Rosemont - La Petite-Patrie,5,11,Thursday,14.26409
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,7,16,Sunday,16.45653448
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,7,23,Sunday,13.74975985
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,10,7,Saturday,12.77609487
Pontiac / Gilford,Le Plateau-Mont-Royal,7,13,Thursday,10.67049167
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,5,27,Saturday,14.87869259
Molson / Beaubien,Rosemont - La Petite-Patrie,9,7,Thursday,13.87275095
Hutchison / Van Horne,Le Plateau-Mont-Royal,10,27,Friday,15.23598438
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,7,8,Saturday,19.433475
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,5,14,Sunday,17.46182738
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,8,6,Sunday,15.58403939
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,10,27,Friday,12.77839655
Ann / Wellington,Le Sud-Ouest,6,16,Friday,11.68251965
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,5,10,Wednesday,14.31044167
Dorion / Rachel,Le Plateau-Mont-Royal,8,22,Tuesday,13.45870862
de la Montagne / Sherbrooke,Ville-Marie,10,9,Monday,11.45282807
Parc Plage,Ville-Marie,10,18,Wednesday,19.30333333
Labadie / du Parc,Le Plateau-Mont-Royal,9,13,Wednesday,12.42140516
de Bordeaux / Masson,Le Plateau-Mont-Royal,8,17,Thursday,13.94154891
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,9,21,Thursday,10.0206
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,8,28,Monday,20.16463596
Pontiac / Gilford,Le Plateau-Mont-Royal,5,27,Saturday,11.69747998
d'Orléans / Masson,Rosemont - La Petite-Patrie,10,19,Thursday,13.78598882
Richardson / Montmorency,Le Sud-Ouest,9,1,Friday,15.51129754
Richardson / Montmorency,Le Sud-Ouest,9,6,Wednesday,11.42057763
Milton / du Parc,Le Plateau-Mont-Royal,7,8,Saturday,13.25949804
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,8,1,Tuesday,20.11485866
Rousselot / Jarry,Villeray - Saint-Michel - Parc-Extension,6,26,Monday,13.92837424
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,6,13,Tuesday,15.40845381
Bercy / Rachel,Le Plateau-Mont-Royal,6,19,Monday,12.05813881
Drolet / Marie-Anne,Le Plateau-Mont-Royal,7,13,Thursday,12.55421898
Egan / Laurendeau,Le Sud-Ouest,5,4,Thursday,26.15866905
St-André / Rachel,Le Plateau-Mont-Royal,10,27,Friday,10.84614864
Henri-Julien / Laurier,Le Plateau-Mont-Royal,7,21,Friday,12.57034225
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,7,31,Monday,18.47113827
Richardson / Montmorency,Le Sud-Ouest,5,27,Saturday,17.8041078
Marquette / Rachel,Le Plateau-Mont-Royal,5,23,Tuesday,12.19763349
Bourget / St-Jacques,Le Sud-Ouest,7,19,Wednesday,11.37674368
Fortune / Wellington,Le Sud-Ouest,8,5,Saturday,16.73504304
Larivière / de Lorimier,Ville-Marie,8,30,Wednesday,10.55498897
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,7,11,Tuesday,14.468736
d'Orléans / Masson,Rosemont - La Petite-Patrie,7,26,Wednesday,14.97434314
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,7,2,Sunday,21.33632778
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,10,5,Thursday,11.783135
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,5,5,Friday,17.04840458
de la Montagne / Sherbrooke,Ville-Marie,5,13,Saturday,13.9482188
Duluth  / St-Denis,Le Plateau-Mont-Royal,7,22,Saturday,13.90040339
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,5,22,Monday,15.54049827
8e avenue / Dandurand,Rosemont - La Petite-Patrie,7,23,Sunday,14.96157991
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,10,26,Thursday,12.48483152
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,6,5,Monday,14.53355957
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,5,14,Sunday,13.12777208
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,5,4,Thursday,12.62617722
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,10,19,Thursday,10.27795849
St-André / Rachel,Le Plateau-Mont-Royal,6,10,Saturday,14.59420867
Drolet / Marie-Anne,Le Plateau-Mont-Royal,10,9,Monday,8.852419492
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,7,29,Saturday,13.01670023
Union / René-Lévesque,Ville-Marie,8,4,Friday,11.98859128
Richardson / Montmorency,Le Sud-Ouest,7,24,Monday,14.80222014
Guy / Sainte-Catherine,Ville-Marie,9,23,Saturday,13.2100593
de la Roche / Bélanger,Rosemont - La Petite-Patrie,6,22,Thursday,14.9015148
Bercy / Rachel,Le Plateau-Mont-Royal,8,20,Sunday,13.86747449
de Bordeaux / Masson,Le Plateau-Mont-Royal,6,15,Thursday,14.40258872
Henri-Julien / Laurier,Le Plateau-Mont-Royal,6,12,Monday,10.24347857
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,7,24,Monday,17.56344444
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,11,Sunday,16.36403182
Drolet / Marie-Anne,Le Plateau-Mont-Royal,9,29,Friday,12.60447286
Guy / Sainte-Catherine,Ville-Marie,9,4,Monday,15.84560528
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,8,21,Monday,12.28512835
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,10,15,Sunday,20.01640667
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,7,17,Monday,10.1716522
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,10,9,Monday,11.98940867
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,7,13,Thursday,10.09332613
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,9,6,Wednesday,14.33370676
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,10,11,Wednesday,13.01569352
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,5,2,Tuesday,12.72298286
du President-Kennedy / Union,Ville-Marie,5,25,Thursday,13.81991417
